day,rollout_pct,signup_conversion_pct,retention_d1_pct,retention_d7_pct,crash_rate_pct,p95_latency_ms,payment_success_pct,support_tickets,nps,csat
1,5,4.4,72.4,,0.36,198,99.7,39,43,4.1
2,5,4.5,72.8,,0.35,196,99.7,37,42,4.0
3,10,4.4,72.1,,0.42,216,99.6,48,41,4.0
4,10,4.3,71.8,,0.49,234,99.5,56,40,3.9
5,10,4.2,71.1,,0.67,284,99.2,74,38,3.8
6,10,4.3,71.4,,0.63,268,99.3,70,39,3.9
7,10,4.5,72.1,42.4,0.56,254,99.4,66,40,4.0
8,25,4.7,72.5,42.3,0.50,242,99.5,72,41,4.1
9,25,4.8,72.8,42.4,0.45,232,99.6,69,43,4.2
10,25,4.9,73.1,42.6,0.39,224,99.7,63,44,4.2
